id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6473155,Cute home next to down town,14801374,Micah,,Ramsey,44.93266,-93.08658,Entire home/apt,75,1,2,2015-09-26,0.04,1,0
6474108,Sanctuary in Whispering Woods Eagan,33077463,Elizabeth,,Dakota,44.77993,-93.22525,Private room,70,1,60,2019-09-29,1.48,1,305
6485907,"Garden Level SW, Norwegian Wood Retreat LLC",728274,Debra,,Sherburne,45.5238,-93.58524,Hotel room,110,1,15,2019-09-29,0.35,5,306
6499872,Quiet family neighborhood by MOA,28836492,Allison,,Hennepin,44.86284,-93.31299,Private room,60,1,12,2019-06-26,0.22,1,292
6502512,"Stadium 2 miles,Heart of MPLS, Dntwn/uptwn",23090675,Lisa,,Hennepin,44.94171,-93.27741,Entire home/apt,250,2,93,2019-05-10,1.77,9,165
6513836,"Garden level unit,  1200 sq ft",34058103,Chris,,Hennepin,44.87084,-93.2932,Entire home/apt,89,1,105,2019-08-09,2.02,2,362
6526909,"Stone Throw from Campus,Kinni &City",34134661,Dana,,Pierce,44.8511,-92.631,Private room,86,1,0,,,1,0
6598043,Private room near the light rail,34516185,Shannon,,Hennepin,44.93636,-93.24215,Private room,39,1,0,,,1,0
6613380,3 blk to downtown 1 blk from river,34608697,Jay,,St. Croix,44.98062,-92.75812,Entire home/apt,350,2,156,2019-08-25,3.06,1,313
6624412,Your Park Avenue Address,34459112,John,,Hennepin,44.94232,-93.26611,Entire home/apt,95,3,114,2019-09-01,2.15,1,40
6659752,Hope Glen Farm Corn Crib Villa,34857282,Michael,,Washington,44.80048,-92.90156,Entire home/apt,150,1,80,2019-08-20,2.36,3,229
6666710,PRIVATE LISTING ★★★★★,8180661,A.R.,,Hennepin,44.96135,-93.27439,Entire home/apt,226,1,5,2019-08-11,0.10,5,0
6676670,Elegant Townhouse Close To Lakes!,34945160,Cheryl,,Hennepin,44.89046,-93.32822,Entire home/apt,79,2,28,2019-09-23,0.56,1,124
6717579,2BR condo- 10 min walk to the Superbowl inside!,33613530,David,,Hennepin,44.97792,-93.25819,Entire home/apt,1800,5,7,2015-07-20,0.13,1,180
6780212,"Suite Willoughby 3-room w/55"" smart TV",35493780,Michael-Jon,,Ramsey,44.9256,-93.10285,Private room,82,2,89,2019-10-08,1.84,1,336
